second,V_supply,V_in,I_other,I_in
+1.147002E+00,-66.946E-03,+2.443515E+00,-2.008E-03,-33.473E-03
+1.154752E+00,-0.0E+00,+2.443515E+00,-0.0E+00,-33.473E-03
+1.162502E+00,-66.946E-03,+2.443515E+00,-3.347E-03,+33.473E-03
+1.170252E+00,+0.0E+00,+2.443515E+00,-2.678E-03,+0.0E+00
+1.178002E+00,+0.0E+00,+2.410042E+00,+669E-06,+0.0E+00
+1.185752E+00,+66.946E-03,+2.443515E+00,-669E-06,-0.0E+00
+1.193502E+00,+0.0E+00,+2.443515E+00,+1.339E-03,-33.473E-03
+1.201252E+00,+0.0E+00,+2.443515E+00,+0.0E+00,-0.0E+00
+1.209002E+00,-0.0E+00,+2.443515E+00,+0.0E+00,-33.473E-03
+1.216752E+00,-66.946E-03,+2.443515E+00,+1.339E-03,-0.0E+00
+1.224502E+00,-66.946E-03,+2.476987E+00,-1.339E-03,-33.473E-03
+1.232252E+00,-66.946E-03,+2.476987E+00,+669E-06,-0.0E+00
+1.240002E+00,+0.0E+00,+2.443515E+00,+1.339E-03,-33.473E-03
+1.247752E+00,+0.0E+00,+2.510460E+00,-1.339E-03,-33.473E-03
+1.255503E+00,-0.0E+00,+2.476987E+00,+669E-06,+0.0E+00
+1.263253E+00,-66.946E-03,+2.443515E+00,-1.339E-03,+33.473E-03
+1.271003E+00,+0.0E+00,+2.476987E+00,-1.339E-03,-33.473E-03
+1.278753E+00,+0.0E+00,+2.510460E+00,+2.008E-03,+0.0E+00
+1.286503E+00,+0.0E+00,+2.476987E+00,+0.0E+00,+0.0E+00
+1.294253E+00,+0.0E+00,+2.443515E+00,+669E-06,-0.0E+00
+1.302003E+00,+0.0E+00,+2.443515E+00,-669E-06,-33.473E-03
+1.309753E+00,+0.0E+00,+2.510460E+00,-1.339E-03,-33.473E-03
+1.317503E+00,+0.0E+00,+2.443515E+00,-669E-06,-0.0E+00
+1.325253E+00,-0.0E+00,+2.476987E+00,-669E-06,-33.473E-03
+1.333003E+00,-66.946E-03,+2.443515E+00,-2.008E-03,-33.473E-03
+1.340753E+00,+0.0E+00,+2.476987E+00,+669E-06,-0.0E+00
+1.348503E+00,-0.0E+00,+2.443515E+00,-0.0E+00,-33.473E-03
+1.356253E+00,-66.946E-03,+2.443515E+00,-1.339E-03,-33.473E-03
+1.364003E+00,-0.0E+00,+2.443515E+00,-669E-06,+0.0E+00
+1.371753E+00,-66.946E-03,+2.476987E+00,-669E-06,+0.0E+00
+1.379503E+00,+0.0E+00,+2.476987E+00,+669E-06,+0.0E+00
+1.387253E+00,-0.0E+00,+2.510460E+00,-1.339E-03,+0.0E+00
+1.395003E+00,-66.946E-03,+2.510460E+00,-1.339E-03,+0.0E+00
+1.402753E+00,+0.0E+00,+2.443515E+00,+1.339E-03,-0.0E+00
+1.410503E+00,+0.0E+00,+2.443515E+00,+669E-06,-33.473E-03
+1.418253E+00,-0.0E+00,+2.476987E+00,-2.008E-03,-33.473E-03
+1.426003E+00,-66.946E-03,+2.476987E+00,-2.678E-03,-0.0E+00
+1.433753E+00,+0.0E+00,+2.443515E+00,-2.008E-03,-33.473E-03
+1.441503E+00,+0.0E+00,+2.443515E+00,-669E-06,-33.473E-03
+1.449253E+00,-0.0E+00,+2.443515E+00,-4.686E-03,-33.473E-03
+1.457003E+00,-66.946E-03,+2.476987E+00,-2.008E-03,-33.473E-03
+1.464753E+00,+0.0E+00,+2.476987E+00,+3.347E-03,+33.473E-03
+1.472503E+00,+0.0E+00,+2.476987E+00,-669E-06,+0.0E+00
+1.480253E+00,+0.0E+00,+2.443515E+00,-669E-06,+0.0E+00
+1.488003E+00,+0.0E+00,+2.443515E+00,-1.339E-03,+0.0E+00
+1.495753E+00,+0.0E+00,+2.476987E+00,-1.339E-03,-0.0E+00
+1.503503E+00,-0.0E+00,+2.476987E+00,+669E-06,-33.473E-03
+1.511253E+00,-66.946E-03,+2.476987E+00,-2.678E-03,-0.0E+00
+1.519003E+00,+0.0E+00,+2.443515E+00,-0.0E+00,-33.473E-03
+1.526753E+00,+0.0E+00,+2.443515E+00,-669E-06,-33.473E-03
+1.534503E+00,+0.0E+00,+2.476987E+00,-669E-06,-33.473E-03
+1.542253E+00,+0.0E+00,+2.476987E+00,-0.0E+00,-0.0E+00
+1.550003E+00,+0.0E+00,+2.476987E+00,-2.678E-03,-33.473E-03
